timestamp,temperature,relative_humidity,heater_command,fan_command
1777760355.938,21.700,63.000,0.577,0.000
1777760357.141,21.700,63.000,0.624,0.000
1777760360.653,21.400,80.000,0.943,1.000
1777760361.265,21.400,80.000,0.969,1.000
1777760362.265,21.400,80.000,0.985,1.000
1777760363.524,21.300,80.000,1.000,1.000
1777760364.265,21.300,80.000,1.000,1.000
1777760367.780,21.300,80.000,1.000,1.000
1777760368.269,21.300,80.000,1.000,1.000
1777760369.269,21.300,80.000,1.000,1.000
1777760370.526,21.300,80.000,1.000,1.000
1777760371.269,21.300,80.000,1.000,1.000
1777760374.781,21.200,79.000,1.000,1.000
1777760375.253,21.200,79.000,1.000,1.000
1777760376.253,21.200,79.000,1.000,1.000
1777760377.508,21.200,77.000,1.000,1.000
1777760378.253,21.200,77.000,1.000,1.000
1777760379.507,21.100,75.000,1.000,1.000
1777760380.253,21.100,75.000,1.000,1.000
1777760381.510,21.100,73.000,1.000,1.000
1777760382.253,21.100,73.000,1.000,1.000
1777760383.508,21.000,71.000,1.000,1.000
1777760384.254,21.000,71.000,1.000,1.000
1777760387.763,21.100,68.000,1.000,1.000
1777760388.290,21.100,68.000,1.000,1.000
1777760389.290,21.100,68.000,1.000,1.000
1777760392.800,21.000,64.000,1.000,1.000
1777760393.328,21.000,64.000,1.000,1.000
1777760394.328,21.000,64.000,1.000,1.000
1777760395.583,21.000,63.000,1.000,1.000
1777760396.328,21.000,63.000,1.000,1.000
1777760397.586,21.000,62.000,1.000,0.000
1777760398.328,21.000,62.000,1.000,0.000
1777760399.583,20.900,61.000,1.000,0.000
1777760400.329,20.900,61.000,1.000,0.000
1777760403.840,21.000,60.000,1.000,0.000
1777760404.352,21.000,60.000,1.000,0.000
1777760405.352,21.000,60.000,1.000,0.000
1777760406.606,20.900,60.000,1.000,0.000
1777760407.352,20.900,60.000,1.000,0.000
1777760408.610,20.900,60.000,1.000,0.000
1777760409.352,20.900,60.000,1.000,0.000
1777760410.607,21.000,60.000,1.000,0.000
1777760411.353,21.000,60.000,1.000,0.000
1777760412.607,20.900,60.000,1.000,0.000
1777760413.353,20.900,60.000,1.000,0.000
1777760414.610,20.900,60.000,1.000,0.000
1777760415.353,20.900,60.000,1.000,0.000
1777760416.607,20.900,60.000,1.000,0.000
1777760417.353,20.900,60.000,1.000,0.000
1777760418.607,20.900,60.000,1.000,0.000
1777760419.353,20.900,60.000,1.000,0.000
1777760420.610,20.900,60.000,1.000,0.000
1777760421.353,20.900,60.000,1.000,0.000
1777760422.610,21.000,60.000,1.000,0.000
1777760423.354,21.000,60.000,1.000,0.000
1777760424.608,20.900,60.000,1.000,0.000
1777760425.354,20.900,60.000,1.000,0.000
1777760426.608,21.000,60.000,1.000,0.000
1777760427.354,21.000,60.000,1.000,0.000
1777760428.609,21.000,60.000,1.000,0.000
1777760429.354,21.000,60.000,1.000,0.000
1777760430.609,20.900,60.000,1.000,0.000
1777760431.354,20.900,60.000,1.000,0.000
1777760432.609,21.000,61.000,1.000,0.000
1777760433.355,21.000,61.000,1.000,0.000
1777760436.863,21.000,61.000,1.000,0.000
1777760437.393,21.000,61.000,1.000,0.000
1777760438.393,21.000,61.000,1.000,0.000
1777760439.647,21.100,61.000,1.000,0.000
1777760440.393,21.100,61.000,1.000,0.000
1777760441.648,21.200,61.000,1.000,0.000
1777760442.394,21.200,61.000,1.000,0.000
1777760443.648,21.200,62.000,1.000,0.000
1777760444.394,21.200,62.000,1.000,0.000
1777760445.648,21.100,62.000,1.000,0.000
1777760446.394,21.100,62.000,1.000,0.000
1777760447.652,21.100,62.000,1.000,0.000
1777760448.394,21.100,62.000,1.000,0.000
1777760449.649,21.300,62.000,1.000,0.000
1777760450.394,21.300,62.000,1.000,0.000
1777760451.648,21.200,62.000,1.000,0.000
1777760452.395,21.200,62.000,1.000,0.000
1777760453.649,21.300,62.000,1.000,0.000
1777760454.395,21.300,62.000,1.000,0.000
1777760455.649,21.300,63.000,1.000,0.000
1777760456.395,21.300,63.000,1.000,0.000
1777760457.652,21.300,63.000,1.000,0.000
1777760458.395,21.300,63.000,1.000,0.000
1777760459.650,21.400,64.000,1.000,0.000
1777760460.395,21.400,64.000,0.985,0.000
1777760461.650,21.600,65.000,0.917,0.000
1777760462.395,21.600,65.000,0.886,0.000
1777760463.650,21.500,66.000,0.937,0.000
1777760464.396,21.500,66.000,0.935,0.000
1777760465.654,21.600,66.000,0.932,0.000
1777760466.396,21.600,66.000,0.886,0.000
1777760467.650,21.600,67.000,0.886,0.000
1777760468.396,21.600,67.000,0.886,0.000
1777760471.908,21.700,67.000,0.893,0.000
1777760472.414,21.700,67.000,0.838,0.000
1777760473.414,21.700,67.000,0.838,0.000
1777760476.922,21.800,68.000,0.846,1.000
1777760477.457,21.800,68.000,0.791,1.000
1777760478.457,21.800,68.000,0.791,1.000
1777760479.711,21.800,69.000,0.791,1.000
1777760480.457,21.800,69.000,0.791,1.000
1777760481.712,22.000,70.000,0.730,1.000
1777760482.457,22.000,70.000,0.699,1.000
1777760483.712,22.100,70.000,0.700,1.000
1777760484.458,22.100,70.000,0.655,1.000
1777760485.712,22.000,70.000,0.701,1.000
1777760486.458,22.000,70.000,0.699,1.000
1777760487.712,22.100,69.000,0.700,1.000
1777760488.458,22.100,69.000,0.655,1.000
1777760489.712,22.200,67.000,0.657,1.000
1777760490.458,22.200,67.000,0.611,1.000
1777760491.716,22.200,65.000,0.611,1.000
1777760492.458,22.200,65.000,0.611,1.000
1777760493.713,22.200,63.000,0.611,1.000
1777760494.458,22.200,63.000,0.611,1.000
1777760495.713,22.200,61.000,0.611,0.000
1777760496.459,22.200,61.000,0.611,0.000
1777760497.713,22.300,59.000,0.615,0.000
1777760498.459,22.300,59.000,0.569,0.000
1777760499.713,22.400,58.000,0.573,0.000
1777760500.459,22.400,58.000,0.528,0.000
1777760503.972,22.300,57.000,0.570,0.000
1777760504.508,22.300,57.000,0.569,0.000
1777760505.508,22.300,57.000,0.569,0.000
1777760506.766,22.300,56.000,0.569,0.000
1777760507.508,22.300,56.000,0.569,0.000
1777760508.766,22.400,56.000,0.573,0.000
1777760509.509,22.400,56.000,0.528,0.000
1777760510.763,22.500,55.000,0.533,0.000
1777760511.509,22.500,55.000,0.487,0.000
1777760512.763,22.500,55.000,0.487,0.000
1777760513.509,22.500,55.000,0.487,0.000
1777760514.764,22.500,55.000,0.487,0.000
1777760515.509,22.500,55.000,0.487,0.000
1777760516.764,22.500,55.000,0.487,0.000
1777760517.509,22.500,55.000,0.487,0.000
1777760518.764,22.600,55.000,0.494,0.000
1777760519.510,22.600,55.000,0.448,0.000
1777760520.766,22.700,55.000,0.455,0.000
1777760521.510,22.700,55.000,0.409,0.000
1777760522.764,22.800,55.000,0.418,0.000
1777760523.510,22.800,55.000,0.372,0.000
1777760524.764,22.700,55.000,0.412,0.000
1777760525.510,22.700,55.000,0.409,0.000
1777760526.764,22.600,56.000,0.450,0.000
1777760527.510,22.600,56.000,0.448,0.000
1777760528.768,22.700,56.000,0.455,0.000
1777760529.510,22.700,56.000,0.409,0.000
1777760530.765,22.800,56.000,0.418,0.000
