timestamp,temperature,relative_humidity,heater_command,fan_command
1777759745.715,19.600,58.000,1.000,0.000
1777759746.852,19.600,58.000,1.000,0.000
1777759748.108,20.000,80.000,1.000,1.000
1777759748.852,20.000,80.000,1.000,1.000
1777759750.107,19.900,81.000,1.000,1.000
1777759750.852,19.900,81.000,1.000,1.000
1777759752.110,20.000,81.000,1.000,1.000
1777759752.853,20.000,81.000,1.000,1.000
1777759754.110,19.900,81.000,1.000,1.000
1777759754.853,19.900,81.000,1.000,1.000
1777759756.107,20.100,81.000,1.000,1.000
1777759756.853,20.100,81.000,1.000,1.000
1777759758.107,19.900,81.000,1.000,1.000
1777759758.853,19.900,81.000,1.000,1.000
1777759760.108,20.000,80.000,1.000,1.000
1777759760.853,20.000,80.000,1.000,1.000
1777759762.115,19.900,79.000,1.000,1.000
1777759762.853,19.900,79.000,1.000,1.000
1777759764.108,19.800,78.000,1.000,1.000
1777759764.854,19.800,78.000,1.000,1.000
1777759768.363,19.800,75.000,1.000,1.000
1777759768.965,19.800,75.000,1.000,1.000
1777759769.965,19.800,75.000,1.000,1.000
1777759771.219,19.800,73.000,1.000,1.000
1777759771.965,19.800,73.000,1.000,1.000
1777759773.233,19.800,71.000,1.000,1.000
1777759773.965,19.800,71.000,1.000,1.000
1777759775.221,19.800,70.000,1.000,1.000
1777759775.966,19.800,70.000,1.000,1.000
1777759777.220,19.800,68.000,1.000,1.000
1777759777.966,19.800,68.000,1.000,1.000
1777759779.224,19.700,68.000,1.000,1.000
1777759779.966,19.700,68.000,1.000,1.000
1777759781.221,19.800,67.000,1.000,1.000
1777759781.966,19.800,67.000,1.000,1.000
1777759783.221,19.800,66.000,1.000,1.000
1777759783.966,19.800,66.000,1.000,1.000
1777759785.221,19.700,65.000,1.000,1.000
1777759785.967,19.700,65.000,1.000,1.000
1777759787.223,19.800,64.000,1.000,1.000
1777759787.967,19.800,64.000,1.000,1.000
1777759789.221,19.800,64.000,1.000,1.000
1777759789.967,19.800,64.000,1.000,1.000
1777759791.221,19.800,63.000,1.000,1.000
1777759791.967,19.800,63.000,1.000,1.000
1777759795.477,19.700,62.000,1.000,0.000
1777759796.079,19.700,62.000,1.000,0.000
1777759797.079,19.700,62.000,1.000,0.000
1777759798.336,19.800,62.000,1.000,0.000
1777759799.080,19.800,62.000,1.000,0.000
1777759800.339,19.800,62.000,1.000,0.000
1777759801.080,19.800,62.000,1.000,0.000
1777759802.334,19.800,62.000,1.000,0.000
1777759803.080,19.800,62.000,1.000,0.000
1777759804.334,19.800,62.000,1.000,0.000
1777759805.080,19.800,62.000,1.000,0.000
1777759806.344,19.800,62.000,1.000,0.000
1777759807.081,19.800,62.000,1.000,0.000
1777759808.335,19.800,62.000,1.000,0.000
1777759809.081,19.800,62.000,1.000,0.000
1777759810.335,19.800,62.000,1.000,0.000
1777759811.081,19.800,62.000,1.000,0.000
1777759812.335,19.800,62.000,1.000,0.000
1777759813.081,19.800,62.000,1.000,0.000
1777759814.336,19.800,62.000,1.000,0.000
1777759815.081,19.800,62.000,1.000,0.000
1777759818.592,19.900,62.000,1.000,0.000
1777759819.337,19.900,62.000,1.000,0.000
1777759820.598,20.000,62.000,1.000,0.000
1777759821.338,20.000,62.000,1.000,0.000
1777759822.592,20.000,63.000,1.000,0.000
1777759823.338,20.000,63.000,1.000,0.000
1777759824.594,20.000,63.000,1.000,0.000
1777759825.338,20.000,63.000,1.000,0.000
1777759826.596,20.100,63.000,1.000,0.000
1777759827.338,20.100,63.000,1.000,0.000
1777759828.592,20.100,63.000,1.000,0.000
1777759829.338,20.100,63.000,1.000,0.000
1777759830.593,20.100,63.000,1.000,0.000
1777759831.339,20.100,63.000,1.000,0.000
1777759832.593,20.200,63.000,1.000,0.000
1777759833.339,20.200,63.000,1.000,0.000
1777759834.593,20.200,63.000,1.000,0.000
1777759835.339,20.200,63.000,1.000,0.000
1777759836.593,20.300,63.000,1.000,0.000
1777759837.339,20.300,63.000,1.000,0.000
1777759838.596,20.300,64.000,1.000,0.000
1777759839.339,20.300,64.000,1.000,0.000
1777759840.596,20.400,64.000,1.000,0.000
1777759841.340,20.400,64.000,1.000,0.000
1777759842.598,20.400,64.000,1.000,0.000
1777759843.340,20.400,64.000,1.000,0.000
1777759844.598,20.500,64.000,1.000,0.000
1777759845.340,20.500,64.000,1.000,0.000
1777759846.594,20.400,65.000,1.000,0.000
1777759847.340,20.400,65.000,1.000,0.000
1777759848.598,20.600,65.000,1.000,0.000
1777759849.340,20.600,65.000,1.000,0.000
1777759850.595,20.600,65.000,1.000,0.000
1777759851.341,20.600,65.000,1.000,0.000
1777759852.598,20.600,66.000,1.000,0.000
1777759853.341,20.600,66.000,1.000,0.000
1777759854.595,20.700,66.000,1.000,0.000
1777759855.341,20.700,66.000,1.000,0.000
1777759856.598,20.700,66.000,1.000,0.000
1777759857.341,20.700,66.000,1.000,0.000
1777759858.598,20.700,66.000,1.000,0.000
1777759859.341,20.700,66.000,1.000,0.000
1777759860.598,20.900,66.000,1.000,0.000
1777759861.341,20.900,66.000,1.000,0.000
1777759862.596,20.900,66.000,1.000,0.000
1777759863.342,20.900,66.000,1.000,0.000
1777759864.596,21.000,66.000,0.992,0.000
1777759865.342,21.000,66.000,1.000,0.000
1777759866.596,21.000,66.000,1.000,0.000
1777759867.342,21.000,66.000,1.000,0.000
1777759868.597,20.900,66.000,1.000,0.000
1777759869.342,20.900,66.000,1.000,0.000
1777759870.597,21.000,67.000,0.992,0.000
1777759871.342,21.000,67.000,1.000,0.000
1777759872.597,21.200,67.000,0.914,0.000
1777759873.343,21.200,67.000,0.930,0.000
1777759874.597,21.200,67.000,0.930,0.000
1777759875.343,21.200,67.000,0.930,0.000
1777759876.600,21.300,67.000,0.887,0.000
1777759877.343,21.300,67.000,0.895,0.000
1777759878.597,21.300,68.000,0.895,1.000
1777759879.343,21.300,68.000,0.895,1.000
1777759880.600,21.300,68.000,0.895,1.000
1777759881.343,21.300,68.000,0.895,1.000
1777759882.598,21.400,68.000,0.852,1.000
1777759883.344,21.400,68.000,0.860,1.000
1777759884.602,21.500,69.000,0.817,1.000
1777759885.344,21.500,69.000,0.825,1.000
1777759886.602,21.600,69.000,0.782,1.000
1777759887.344,21.600,69.000,0.790,1.000
1777759888.602,21.600,69.000,0.790,1.000
1777759889.346,21.600,69.000,0.790,1.000
1777759890.601,21.600,69.000,0.790,1.000
1777759891.346,21.600,69.000,0.790,1.000
1777759892.600,21.900,68.000,0.661,1.000
1777759893.348,21.900,68.000,0.685,1.000
1777759894.602,21.800,66.000,0.728,1.000
1777759895.348,21.800,66.000,0.720,1.000
1777759896.608,21.900,64.000,0.677,1.000
1777759897.348,21.900,64.000,0.685,1.000
1777759898.604,21.800,63.000,0.728,1.000
1777759899.349,21.800,63.000,0.720,1.000
1777759900.609,22.000,62.000,0.634,0.000
1777759901.349,22.000,62.000,0.650,0.000
1777759902.603,22.000,61.000,0.650,0.000
1777759903.349,22.000,61.000,0.650,0.000
1777759904.606,22.100,60.000,0.607,0.000
1777759905.349,22.100,60.000,0.615,0.000
1777759906.604,22.100,59.000,0.615,0.000
1777759907.350,22.100,59.000,0.615,0.000
1777759908.604,22.000,59.000,0.658,0.000
1777759909.350,22.000,59.000,0.650,0.000
1777759912.859,22.300,58.000,0.536,0.000
1777759913.352,22.300,58.000,0.545,0.000
1777759914.352,22.300,58.000,0.545,0.000
1777759917.861,22.400,58.000,0.507,0.000
1777759918.365,22.400,58.000,0.510,0.000
1777759919.365,22.400,58.000,0.510,0.000
1777759920.620,22.400,58.000,0.510,0.000
1777759921.365,22.400,58.000,0.510,0.000
1777759922.620,22.500,58.000,0.467,0.000
1777759923.366,22.500,58.000,0.475,0.000
1777759924.624,22.500,58.000,0.475,0.000
1777759925.366,22.500,58.000,0.475,0.000
1777759926.621,22.500,58.000,0.475,0.000
1777759927.366,22.500,58.000,0.475,0.000
1777759928.621,22.600,58.000,0.432,0.000
1777759929.366,22.600,58.000,0.440,0.000
1777759930.621,22.600,58.000,0.440,0.000
1777759931.367,22.600,58.000,0.440,0.000
1777759932.621,22.600,58.000,0.440,0.000
1777759933.367,22.600,58.000,0.440,0.000
1777759934.621,22.700,58.000,0.397,0.000
1777759935.367,22.700,58.000,0.405,0.000
1777759936.622,22.800,58.000,0.362,0.000
1777759937.367,22.800,58.000,0.370,0.000
1777759940.876,22.900,58.000,0.332,0.000
1777759941.413,22.900,58.000,0.335,0.000
1777759942.413,22.900,58.000,0.335,0.000
1777759943.670,23.000,59.000,0.292,0.000
1777759944.413,23.000,59.000,0.300,0.000
1777759945.670,23.000,59.000,0.300,0.000
1777759946.413,23.000,59.000,0.300,0.000
1777759947.668,23.100,59.000,0.253,0.000
1777759948.413,23.100,59.000,0.259,0.000
1777759949.668,23.100,59.000,0.255,0.000
1777759950.413,23.100,59.000,0.253,0.000
1777759951.670,23.200,60.000,0.203,0.000
1777759952.414,23.200,60.000,0.206,0.000
1777759953.668,23.300,60.000,0.152,0.000
1777759954.414,23.300,60.000,0.153,0.000
1777759955.669,23.300,60.000,0.142,0.000
1777759956.414,23.300,60.000,0.135,0.000
1777759957.669,23.400,60.000,0.077,0.000
1777759958.414,23.400,60.000,0.076,0.000
1777759959.669,23.400,60.000,0.061,0.000
1777759960.415,23.400,60.000,0.052,0.000
